"   Channel,  Energy(keV),   Counts"
"     226,      45.2949,        111"
"     227,      45.5136,        110"
"     228,      45.7323,        127"
"     229,      45.9510,        100"
"     230,      46.1697,        113"
"     231,      46.3884,        111"
"     232,      46.6072,         93"
"     233,      46.8259,         88"
"     234,      47.0446,         91"
"     235,      47.2633,        101"
"     236,      47.4820,        103"
"     237,      47.7007,        112"
"     238,      47.9195,         83"
"     239,      48.1382,        124"
"     240,      48.3569,        116"
"     241,      48.5756,        128"
"     242,      48.7943,        123"
"     243,      49.0130,        116"
"     244,      49.2318,        106"
"     245,      49.4505,         98"
"     246,      49.6692,        114"
"     247,      49.8879,        114"
"     248,      50.1066,        128"
"     249,      50.3253,        114"
"     250,      50.5440,        113"
"     251,      50.7628,        101"
"     252,      50.9815,        107"
"     253,      51.2002,        122"
"     254,      51.4189,        115"
"     255,      51.6376,        104"
"     256,      51.8563,        131"
"     257,      52.0751,        128"
"     258,      52.2938,        114"
"     259,      52.5125,        106"
"     260,      52.7312,        112"
"     261,      52.9499,        127"
"     262,      53.1686,        123"
"     263,      53.3874,        117"
"     264,      53.6061,        123"
"     265,      53.8248,        126"
"     266,      54.0435,        124"
"     267,      54.2622,        102"
"     268,      54.4809,        109"
"     269,      54.6996,        121"
"     270,      54.9184,        136"
"     271,      55.1371,        109"
"     272,      55.3558,        115"
"     273,      55.5745,        119"
"     274,      55.7932,        108"
"     275,      56.0119,        105"
"     276,      56.2307,        107"
"     277,      56.4494,        113"
"     278,      56.6681,        117"
"     279,      56.8868,        126"
"     280,      57.1055,        113"
"     281,      57.3242,        130"
"     282,      57.5430,        121"
"     283,      57.7617,        118"
"     284,      57.9804,        137"
"     285,      58.1991,        106"
"     286,      58.4178,         90"
"     287,      58.6365,        125"
"     288,      58.8552,        126"
"     289,      59.0740,        117"
"     290,      59.2927,        111"
"     291,      59.5114,        116"
"     292,      59.7301,        118"
"     293,      59.9488,        141"
"     294,      60.1675,        125"
"     295,      60.3863,        137"
"     296,      60.6050,        108"
"     297,      60.8237,        120"
"     298,      61.0424,        108"
"     299,      61.2611,        132"
"     300,      61.4798,        112"
"     301,      61.6986,        144"
"     302,      61.9173,        122"
"     303,      62.1360,        128"
"     304,      62.3547,        112"
"     305,      62.5734,        114"
"     306,      62.7921,        139"
"     307,      63.0109,        130"
"     308,      63.2296,        113"
"     309,      63.4483,        124"
"     310,      63.6670,        135"
"     311,      63.8857,        135"
"     312,      64.1044,        161"
"     313,      64.3231,        151"
"     314,      64.5419,        184"
"     315,      64.7606,        227"
"     316,      64.9793,        252"
"     317,      65.1980,        247"
"     318,      65.4167,        238"
"     319,      65.6354,        274"
"     320,      65.8542,        230"
"     321,      66.0729,        195"
"     322,      66.2916,        203"
"     323,      66.5103,        215"
"     324,      66.7290,        268"
"     325,      66.9477,        320"
"     326,      67.1665,        383"
"     327,      67.3852,        396"
"     328,      67.6039,        383"
"     329,      67.8226,        303"
"     330,      68.0413,        251"
"     331,      68.2600,        217"
"     332,      68.4787,        169"
"     333,      68.6975,        141"
"     334,      68.9162,        136"
"     335,      69.1349,        129"
"     336,      69.3536,        140"
"     337,      69.5723,        132"
"     338,      69.7910,        123"
"     339,      70.0098,        115"
"     340,      70.2285,        131"
"     341,      70.4472,        118"
"     342,      70.6659,        118"
"     343,      70.8846,        121"
"     344,      71.1033,        121"
"     345,      71.3221,        115"
"     346,      71.5408,        113"
"     347,      71.7595,        111"
"     348,      71.9782,        108"
"     349,      72.1969,        122"
"     350,      72.4156,        107"
"     351,      72.6343,        125"
"     352,      72.8531,        117"
"     353,      73.0718,        138"
"     354,      73.2905,        119"
"     355,      73.5092,        113"
"     356,      73.7279,        129"
"     357,      73.9466,         91"
"     358,      74.1654,        111"
"     359,      74.3841,        123"
"     360,      74.6028,        110"
"     361,      74.8215,        119"
"     362,      75.0402,        126"
"     363,      75.2589,        114"
"     364,      75.4777,        128"
"     365,      75.6964,        105"
"     366,      75.9151,        138"
"     367,      76.1338,        136"
"     368,      76.3525,        159"
"     369,      76.5712,        173"
"     370,      76.7899,        196"
"     371,      77.0087,        213"
"     372,      77.2274,        224"
"     373,      77.4461,        214"
"     374,      77.6648,        204"
"     375,      77.8835,        203"
"     376,      78.1022,        160"
"     377,      78.3210,        131"
"     378,      78.5397,        136"
"     379,      78.7584,        147"
"     380,      78.9771,        151"
"     381,      79.1958,        151"
"     382,      79.4145,        147"
"     383,      79.6333,        139"
"     384,      79.8520,        159"
"     385,      80.0707,        136"
"     386,      80.2894,        133"
"     387,      80.5081,        132"
"     388,      80.7268,        105"
"     389,      80.9455,        124"
"     390,      81.1643,        110"
"     391,      81.3830,        120"
"     392,      81.6017,        120"
"     393,      81.8204,        120"
"     394,      82.0391,        135"
"     395,      82.2578,        114"
"     396,      82.4766,        131"
"     397,      82.6953,        117"
"     398,      82.9140,        127"
"     399,      83.1327,        119"
"     400,      83.3514,        112"
"     401,      83.5701,        125"
"     402,      83.7889,         98"
"     403,      84.0076,        119"
"     404,      84.2263,        128"
"     405,      84.4450,        120"
"     406,      84.6637,        116"
"     407,      84.8824,        101"
"     408,      85.1011,        115"
"     409,      85.3199,        117"
"     410,      85.5386,        120"
"     411,      85.7573,        113"
"     412,      85.9760,        109"
"     413,      86.1947,        113"
"     414,      86.4134,        101"
"     415,      86.6322,        109"
"     416,      86.8509,        121"
"     417,      87.0696,        124"
"     418,      87.2883,        117"
"     419,      87.5070,        121"
"     420,      87.7257,        121"
"     421,      87.9445,         96"
"     422,      88.1632,         95"
"     423,      88.3819,        116"
"     424,      88.6006,        107"
"     425,      88.8193,        136"
"     426,      89.0380,        103"
"     427,      89.2567,        114"
"     428,      89.4755,         97"
"     429,      89.6942,        122"
"     430,      89.9129,         98"
"     431,      90.1316,        118"
"     432,      90.3503,        113"
"     433,      90.5690,         98"
"     434,      90.7878,        128"
"     435,      91.0065,        105"
"     436,      91.2252,        100"
"     437,      91.4439,        104"
"     438,      91.6626,        138"
"     439,      91.8813,         97"
"     440,      92.1001,         95"
"     441,      92.3188,        102"
"     442,      92.5375,        105"
"     443,      92.7562,        112"
"     444,      92.9749,         96"
"     445,      93.1936,         97"
"     446,      93.4123,        102"
"     447,      93.6311,        123"
"     448,      93.8498,        117"
"     449,      94.0685,        111"
"     450,      94.2872,        108"
"     451,      94.5059,        120"
"     452,      94.7246,        121"
"     453,      94.9434,        112"
"     454,      95.1621,        115"
"     455,      95.3808,        103"
"     456,      95.5995,        103"
"     457,      95.8182,        102"
"     458,      96.0369,         94"
"     459,      96.2557,        115"
"     460,      96.4744,        118"
"     461,      96.6931,         95"
"     462,      96.9118,        108"
"     463,      97.1305,        117"
"     464,      97.3492,         97"
"     465,      97.5679,        108"
"     466,      97.7867,        107"
"     467,      98.0054,        108"
"     468,      98.2241,        116"
"     469,      98.4428,        116"
"     470,      98.6615,        103"
"     471,      98.8802,        101"
"     472,      99.0990,        108"
"     473,      99.3177,        115"
"     474,      99.5364,        103"
"     475,      99.7551,        104"
"     476,      99.9738,        113"
"     477,     100.1925,        116"
"     478,     100.4113,        129"
"     479,     100.6300,         98"
"     480,     100.8487,        112"
"     481,     101.0674,         98"
"     482,     101.2861,        112"
"     483,     101.5048,        128"
"     484,     101.7235,        126"
"     485,     101.9423,        125"
"     486,     102.1610,        138"
"     487,     102.3797,        118"
"     488,     102.5984,        111"
"     489,     102.8171,         97"
"     490,     103.0358,        108"
"     491,     103.2546,        121"
"     492,     103.4733,         90"
"     493,     103.6920,        117"
"     494,     103.9107,        104"
"     495,     104.1294,        104"
"     496,     104.3481,         93"
"     497,     104.5669,        129"
"     498,     104.7856,        103"
"     499,     105.0043,         96"
"     500,     105.2230,        101"
"     501,     105.4417,        117"
"     502,     105.6604,        109"
"     503,     105.8792,        114"
"     504,     106.0979,        106"
"     505,     106.3166,         94"
"     506,     106.5353,         83"
"     507,     106.7540,        119"
"     508,     106.9727,        104"
"     509,     107.1914,        107"
"     510,     107.4102,         99"
"     511,     107.6289,        106"
"     512,     107.8476,        100"
"     513,     108.0663,        113"
"     514,     108.2850,        100"
"     515,     108.5037,        122"
"     516,     108.7225,        128"
"     517,     108.9412,        103"
"     518,     109.1599,        101"
"     519,     109.3786,        104"
"     520,     109.5973,        116"
"     521,     109.8160,        111"
"     522,     110.0348,         97"
"     523,     110.2535,         98"
"     524,     110.4722,        100"
"     525,     110.6909,         97"
"     526,     110.9096,        104"
"     527,     111.1283,        108"
"     528,     111.3470,        107"
"     529,     111.5658,        103"
"     530,     111.7845,         96"
"     531,     112.0032,         92"
"     532,     112.2219,        117"
"     533,     112.4406,        103"
"     534,     112.6593,        119"
"     535,     112.8781,        109"
"     536,     113.0968,        104"
"     537,     113.3155,        102"
"     538,     113.5342,        117"
"     539,     113.7529,        103"
"     540,     113.9716,        100"
"     541,     114.1904,         90"
"     542,     114.4091,        109"
