Channel,Energy,Counts
     265,      53.8248,          6
     266,      54.0435,         23
     267,      54.2622,         21
     268,      54.4809,         13
     269,      54.6996,         16
     270,      54.9184,         15
     271,      55.1371,         21
     272,      55.3558,         21
     273,      55.5745,         21
     274,      55.7932,         18
     275,      56.0119,         14
     276,      56.2307,         25
     277,      56.4494,         12
     278,      56.6681,         17
     279,      56.8868,         17
     280,      57.1055,         18
     281,      57.3242,         19
     282,      57.5430,         17
     283,      57.7617,         13
     284,      57.9804,         15
     285,      58.1991,         12
     286,      58.4178,         28
     287,      58.6365,         14
     288,      58.8552,         20
     289,      59.0740,         10
     290,      59.2927,         13
     291,      59.5114,         18
     292,      59.7301,         19
     293,      59.9488,         23
     294,      60.1675,         13
     295,      60.3863,         17
     296,      60.6050,         20
     297,      60.8237,         23
     298,      61.0424,         21
     299,      61.2611,         14
     300,      61.4798,         14
     301,      61.6986,         22
     302,      61.9173,         24
     303,      62.1360,         15
     304,      62.3547,         19
     305,      62.5734,         15
     306,      62.7921,         18
     307,      63.0109,         21
     308,      63.2296,         23
     309,      63.4483,         14
     310,      63.6670,         17
     311,      63.8857,         15
     312,      64.1044,         22
     313,      64.3231,         25
     314,      64.5419,         36
     315,      64.7606,         48
     316,      64.9793,         74
     317,      65.1980,         80
     318,      65.4167,        100
     319,      65.6354,         70
     320,      65.8542,         56
     321,      66.0729,         56
     322,      66.2916,         51
     323,      66.5103,         48
     324,      66.7290,         51
     325,      66.9477,         87
     326,      67.1665,         94
     327,      67.3852,         98
     328,      67.6039,        136
     329,      67.8226,         98
     330,      68.0413,         91
     331,      68.2600,         64
     332,      68.4787,         49
     333,      68.6975,         31
     334,      68.9162,         24
     335,      69.1349,         23
     336,      69.3536,         22
     337,      69.5723,         13
     338,      69.7910,         17
     339,      70.0098,         15
     340,      70.2285,         15
     341,      70.4472,         15
     342,      70.6659,         13
     343,      70.8846,         11
     344,      71.1033,         16
     345,      71.3221,         15
     346,      71.5408,         15
     347,      71.7595,         18
     348,      71.9782,         14
     349,      72.1969,         17
     350,      72.4156,         14
     351,      72.6343,         14
     352,      72.8531,         13
     353,      73.0718,         14
     354,      73.2905,          9
     355,      73.5092,         18
     356,      73.7279,         22
     357,      73.9466,         15
     358,      74.1654,         25
     359,      74.3841,         13
     360,      74.6028,         21
     361,      74.8215,         13
     362,      75.0402,         20
     363,      75.2589,         26
     364,      75.4777,         16
     365,      75.6964,         16
     366,      75.9151,         18
     367,      76.1338,         20
     368,      76.3525,         20
     369,      76.5712,         33
     370,      76.7899,         44
     371,      77.0087,         47
     372,      77.2274,         48
     373,      77.4461,         59
     374,      77.6648,         62
     375,      77.8835,         46
     376,      78.1022,         46
     377,      78.3210,         33
     378,      78.5397,         19
     379,      78.7584,         22
     380,      78.9771,         14
     381,      79.1958,         22
     382,      79.4145,         20
     383,      79.6333,         28
     384,      79.8520,         25
     385,      80.0707,         17
     386,      80.2894,         36
     387,      80.5081,         25
     388,      80.7268,         21
     389,      80.9455,         22
     390,      81.1643,         21
     391,      81.3830,         12
     392,      81.6017,         14
     393,      81.8204,         12
     394,      82.0391,         13
     395,      82.2578,         14
     396,      82.4766,         21
     397,      82.6953,         12
     398,      82.9140,         24
     399,      83.1327,         14
     400,      83.3514,         12
     401,      83.5701,         20
     402,      83.7889,         16
     403,      84.0076,         13
     404,      84.2263,         17
     405,      84.4450,         20
     406,      84.6637,         16
     407,      84.8824,         14
     408,      85.1011,         17
     409,      85.3199,         19
