Channel,Energy,Counts
       244,      49.2318,        433  
       245,      49.4505,        456  
       246,      49.6692,        473  
       247,      49.8879,        460  
       248,      50.1066,        470  
       249,      50.3253,        484  
       250,      50.5440,        458  
       251,      50.7628,        445  
       252,      50.9815,        486  
       253,      51.2002,        458  
       254,      51.4189,        480  
       255,      51.6376,        477  
       256,      51.8563,        473  
       257,      52.0751,        454  
       258,      52.2938,        459  
       259,      52.5125,        472  
       260,      52.7312,        489  
       261,      52.9499,        467  
       262,      53.1686,        472  
       263,      53.3874,        501  
       264,      53.6061,        439  
       265,      53.8248,        493  
       266,      54.0435,        461  
       267,      54.2622,        492  
       268,      54.4809,        510  
       269,      54.6996,        493  
       270,      54.9184,        471  
       271,      55.1371,        460  
       272,      55.3558,        497  
       273,      55.5745,        467  
       274,      55.7932,        467  
       275,      56.0119,        542  
       276,      56.2307,        523  
       277,      56.4494,        482  
       278,      56.6681,        458  
       279,      56.8868,        487  
       280,      57.1055,        491  
       281,      57.3242,        521  
       282,      57.5430,        510  
       283,      57.7617,        491  
       284,      57.9804,        460  
       285,      58.1991,        477  
       286,      58.4178,        513  
       287,      58.6365,        481  
       288,      58.8552,        497  
       289,      59.0740,        492  
       290,      59.2927,        496  
       291,      59.5114,        484  
       292,      59.7301,        484  
       293,      59.9488,        519  
       294,      60.1675,        461  
       295,      60.3863,        533  
       296,      60.6050,        483  
       297,      60.8237,        543  
       298,      61.0424,        499  
       299,      61.2611,        514  
       300,      61.4798,        508  
       301,      61.6986,        508  
       302,      61.9173,        506  
       303,      62.1360,        563  
       304,      62.3547,        536  
       305,      62.5734,        519  
       306,      62.7921,        511  
       307,      63.0109,        523  
       308,      63.2296,        502  
       309,      63.4483,        564  
       310,      63.6670,        557  
       311,      63.8857,        585  
       312,      64.1044,        673  
       313,      64.3231,        863  
       314,      64.5419,       1034  
       315,      64.7606,       1280  
       316,      64.9793,       1530  
       317,      65.1980,       1656  
       318,      65.4167,       1531  
       319,      65.6354,       1364  
       320,      65.8542,       1081  
       321,      66.0729,       1006  
       322,      66.2916,        908  
       323,      66.5103,       1116  
       324,      66.7290,       1518  
       325,      66.9477,       1994  
       326,      67.1665,       2314  
       327,      67.3852,       2476  
       328,      67.6039,       2357  
       329,      67.8226,       1922  
       330,      68.0413,       1469  
       331,      68.2600,       1004  
       332,      68.4787,        737  
       333,      68.6975,        567  
       334,      68.9162,        496  
       335,      69.1349,        471  
       336,      69.3536,        473  
       337,      69.5723,        489  
       338,      69.7910,        472  
       339,      70.0098,        502  
       340,      70.2285,        471  
       341,      70.4472,        456  
       342,      70.6659,        473  
       343,      70.8846,        484  
       344,      71.1033,        447  
       345,      71.3221,        452  
       346,      71.5408,        445  
       347,      71.7595,        429  
       348,      71.9782,        490  
       349,      72.1969,        503  
       350,      72.4156,        467  
       351,      72.6343,        453  
       352,      72.8531,        499  
       353,      73.0718,        492  
       354,      73.2905,        463  
       355,      73.5092,        453  
       356,      73.7279,        459  
       357,      73.9466,        462  
       358,      74.1654,        474  
       359,      74.3841,        492  
       360,      74.6028,        442  
       361,      74.8215,        461  
       362,      75.0402,        427  
       363,      75.2589,        463  
       364,      75.4777,        517  
       365,      75.6964,        474  
