Channel,Energy,Counts
      244,      49.2318,         41 
      245,      49.4505,         49 
      246,      49.6692,         42 
      247,      49.8879,         51 
      248,      50.1066,         61 
      249,      50.3253,         45 
      250,      50.5440,         68 
      251,      50.7628,         65 
      252,      50.9815,         42 
      253,      51.2002,         43 
      254,      51.4189,         51 
      255,      51.6376,         62 
      256,      51.8563,         49 
      257,      52.0751,         50 
      258,      52.2938,         60 
      259,      52.5125,         51 
      260,      52.7312,         49 
      261,      52.9499,         60 
      262,      53.1686,         47 
      263,      53.3874,         57 
      264,      53.6061,         49 
      265,      53.8248,         59 
      266,      54.0435,         65 
      267,      54.2622,         46 
      268,      54.4809,         57 
      269,      54.6996,         54 
      270,      54.9184,         51 
      271,      55.1371,         64 
      272,      55.3558,         65 
      273,      55.5745,         57 
      274,      55.7932,         67 
      275,      56.0119,         66 
      276,      56.2307,         57 
      277,      56.4494,         57 
      278,      56.6681,         52 
      279,      56.8868,         55 
      280,      57.1055,         50 
      281,      57.3242,         59 
      282,      57.5430,         50 
      283,      57.7617,         65 
      284,      57.9804,         62 
      285,      58.1991,         51 
      286,      58.4178,         40 
      287,      58.6365,         64 
      288,      58.8552,         53 
      289,      59.0740,         68 
      290,      59.2927,         53 
      291,      59.5114,         53 
      292,      59.7301,         58 
      293,      59.9488,         53 
      294,      60.1675,         57 
      295,      60.3863,         48 
      296,      60.6050,         47 
      297,      60.8237,         56 
      298,      61.0424,         61 
      299,      61.2611,         56 
      300,      61.4798,         53 
      301,      61.6986,         51 
      302,      61.9173,         59 
      303,      62.1360,         55 
      304,      62.3547,         65 
      305,      62.5734,         76 
      306,      62.7921,         55 
      307,      63.0109,         72 
      308,      63.2296,         69 
      309,      63.4483,         66 
      310,      63.6670,         62 
      311,      63.8857,         70 
      312,      64.1044,         67 
      313,      64.3231,         81 
      314,      64.5419,        112 
      315,      64.7606,        144 
      316,      64.9793,        150 
      317,      65.1980,        176 
      318,      65.4167,        200 
      319,      65.6354,        198 
      320,      65.8542,        154 
      321,      66.0729,        152 
      322,      66.2916,        131 
      323,      66.5103,        132 
      324,      66.7290,        129 
      325,      66.9477,        208 
      326,      67.1665,        267 
      327,      67.3852,        288 
      328,      67.6039,        321 
      329,      67.8226,        296 
      330,      68.0413,        263 
      331,      68.2600,        186 
      332,      68.4787,        125 
      333,      68.6975,         77 
      334,      68.9162,         62 
      335,      69.1349,         60 
      336,      69.3536,         51 
      337,      69.5723,         64 
      338,      69.7910,         39 
      339,      70.0098,         58 
      340,      70.2285,         56 
      341,      70.4472,         62 
      342,      70.6659,         50 
      343,      70.8846,         43 
      344,      71.1033,         51 
      345,      71.3221,         35 
      346,      71.5408,         53 
      347,      71.7595,         42 
      348,      71.9782,         52 
      349,      72.1969,         49 
      350,      72.4156,         42 
      351,      72.6343,         47 
      352,      72.8531,         54 
      353,      73.0718,         54 
      354,      73.2905,         58 
      355,      73.5092,         55 
      356,      73.7279,         48 
      357,      73.9466,         43 
      358,      74.1654,         51 
      359,      74.3841,         52 
      360,      74.6028,         54 
      361,      74.8215,         61 
      362,      75.0402,         56 
      363,      75.2589,         56 
      364,      75.4777,         52 
      365,      75.6964,         52 
      366,      75.9151,         61 
      367,      76.1338,         63 
      368,      76.3525,         73 
      369,      76.5712,         79 
      370,      76.7899,        116 
      371,      77.0087,        131 
      372,      77.2274,        152 
      373,      77.4461,        176 
      374,      77.6648,        129 
      375,      77.8835,        138 
      376,      78.1022,        110 
      377,      78.3210,         84 
      378,      78.5397,         72 
      379,      78.7584,         66 
      380,      78.9771,         61 
      381,      79.1958,         63 
      382,      79.4145,         76 
      383,      79.6333,         86 
      384,      79.8520,         94 
      385,      80.0707,         70 
      386,      80.2894,         68 
      387,      80.5081,         77 
      388,      80.7268,         74 
      389,      80.9455,         52 
      390,      81.1643,         60 
      391,      81.3830,         42 
      392,      81.6017,         61 
      393,      81.8204,         44 
      394,      82.0391,         47 
      395,      82.2578,         56 
      396,      82.4766,         44 
      397,      82.6953,         48 
      398,      82.9140,         52 
      399,      83.1327,         56 
      400,      83.3514,         57 
      401,      83.5701,         35 
      402,      83.7889,         49 
      403,      84.0076,         61 
      404,      84.2263,         50 
      405,      84.4450,         44 
      406,      84.6637,         49 
      407,      84.8824,         47 
      408,      85.1011,         41 
      409,      85.3199,         37 
      410,      85.5386,         45 
      411,      85.7573,         55 
      412,      85.9760,         43 
      413,      86.1947,         48 
      414,      86.4134,         34 
      415,      86.6322,         43 
      416,      86.8509,         37 
      417,      87.0696,         51 
      418,      87.2883,         41 
      419,      87.5070,         43 
      420,      87.7257,         51 
      421,      87.9445,         56 
      422,      88.1632,         41 
      423,      88.3819,         47 
      424,      88.6006,         44 
      425,      88.8193,         66 
      426,      89.0380,         47 
      427,      89.2567,         48 
      428,      89.4755,         59 
      429,      89.6942,         54 
      430,      89.9129,         43 
      431,      90.1316,         47 
      432,      90.3503,         48 
      433,      90.5690,         57 
      434,      90.7878,         50 
      435,      91.0065,         55 
      436,      91.2252,         55 
      437,      91.4439,         46 
      438,      91.6626,         41 
      439,      91.8813,         39 
      440,      92.1001,         49 
      441,      92.3188,         43 
      442,      92.5375,         42 
      443,      92.7562,         33 
      444,      92.9749,         51 
      445,      93.1936,         41 
      446,      93.4123,         53 
      447,      93.6311,         45 
      448,      93.8498,         38 
      449,      94.0685,         51 
      450,      94.2872,         41 
      451,      94.5059,         64 
      452,      94.7246,         51 
      453,      94.9434,         54 
      454,      95.1621,         58 
      455,      95.3808,         35 
      456,      95.5995,         41 
      457,      95.8182,         44 
      458,      96.0369,         44 
      459,      96.2557,         42 
      460,      96.4744,         46 
      461,      96.6931,         51 
      462,      96.9118,         39 
      463,      97.1305,         51 
      464,      97.3492,         56 
      465,      97.5679,         48 
      466,      97.7867,         49 
      467,      98.0054,         48 
      468,      98.2241,         52 
      469,      98.4428,         49 
      470,      98.6615,         44 
      471,      98.8802,         48 
      472,      99.0990,         42 
      473,      99.3177,         50 
      474,      99.5364,         41 
      475,      99.7551,         48 
      476,      99.9738,         39 
