Channel,Energy,Counts
     265,      53.8248,         11
     266,      54.0435,          9
     267,      54.2622,         12
     268,      54.4809,         12
     269,      54.6996,         13
     270,      54.9184,         12
     271,      55.1371,         14
     272,      55.3558,         13
     273,      55.5745,         11
     274,      55.7932,         13
     275,      56.0119,         14
     276,      56.2307,         14
     277,      56.4494,          8
     278,      56.6681,         11
     279,      56.8868,         14
     280,      57.1055,          9
     281,      57.3242,         14
     282,      57.5430,         16
     283,      57.7617,         17
     284,      57.9804,         11
     285,      58.1991,         17
     286,      58.4178,         12
     287,      58.6365,         24
     288,      58.8552,          5
     289,      59.0740,         17
     290,      59.2927,         15
     291,      59.5114,          8
     292,      59.7301,         21
     293,      59.9488,         18
     294,      60.1675,         11
     295,      60.3863,         15
     296,      60.6050,         13
     297,      60.8237,         16
     298,      61.0424,         15
     299,      61.2611,          9
     300,      61.4798,         12
     301,      61.6986,         19
     302,      61.9173,         13
     303,      62.1360,         12
     304,      62.3547,         12
     305,      62.5734,         11
     306,      62.7921,         10
     307,      63.0109,          9
     308,      63.2296,         15
     309,      63.4483,          9
     310,      63.6670,          7
     311,      63.8857,          9
     312,      64.1044,         22
     313,      64.3231,         26
     314,      64.5419,         25
     315,      64.7606,         36
     316,      64.9793,         56
     317,      65.1980,         43
     318,      65.4167,         60
     319,      65.6354,         43
     320,      65.8542,         37
     321,      66.0729,         41
     322,      66.2916,         23
     323,      66.5103,         35
     324,      66.7290,         42
     325,      66.9477,         63
     326,      67.1665,         65
     327,      67.3852,         82
     328,      67.6039,         90
     329,      67.8226,         77
     330,      68.0413,         62
     331,      68.2600,         46
     332,      68.4787,         30
     333,      68.6975,         25
     334,      68.9162,         14
     335,      69.1349,         11
     336,      69.3536,         13
     337,      69.5723,         15
     338,      69.7910,         15
     339,      70.0098,          9
     340,      70.2285,         12
     341,      70.4472,         15
     342,      70.6659,         20
     343,      70.8846,         10
     344,      71.1033,         14
     345,      71.3221,         17
     346,      71.5408,         11
     347,      71.7595,          8
     348,      71.9782,         13
     349,      72.1969,         16
     350,      72.4156,         11
     351,      72.6343,          9
     352,      72.8531,         11
     353,      73.0718,         11
     354,      73.2905,         12
     355,      73.5092,         14
     356,      73.7279,          4
     357,      73.9466,          9
     358,      74.1654,         15
     359,      74.3841,         13
     360,      74.6028,         15
